round,n_pic,n_quote,n_ref,b_pic,b_quote,b_ref
72,,"Chez eux toute est discours, tout se trahit. Et ce qui eut nom jadis mystère et de l'âme profonde intimité, aux trompettes des rues et autres papillons, tout cela ce jour d'hui appartient.","Ainsi Parlait Zarathoustra
Le retour au pays /page 245",,"Ton rap montre ses fesses, n'est pas pudique","Boss du rap game
Lunatic"
73,,"La vie alors pensivement regarda derrière elle et alentour, et dit à voix basse : "" Ô Zarathoustra ! assez ne m'es fidèle ! Tu ne m'aimes , et de loin, autant que tu le dis ; tu songes, je le sais, à me quitter bientôt.""","Ainsi Parlait Zarathoustra
Le deuxième chant de danse /page 297",,"J'ai pris la vie dans mes bras
Je l'ai serrée si fort
Je lui ai cassé le dos","Boulbi
Ouest Side
2006"
74,,En paix ne puis longtemps rester assis,"Ainsi Parlait Zarathoustra
Le voyageur /page 206",,"Mon frère j'voulais la gloire, j'ai eu la guerre, j'lai faite, y en aura d'autres, c'est la merde","Le Bitume avec une plume
Temps Mort"
75,,En paix ne puis longtemps rester assis,"Ainsi Parlait Zarathoustra
Le voyageur /page 206",,eh ma grosse tu crois quoi rien n'est jamais acquis...,
76,,"Qui sa propre vertu s'invente, il faut que les gens de bien le crucifient ! ","Ainsi Parlait Zarathoustra
D'anciennes et de nouvelles tables /p279",,"Va clouer ta mère
Laisse-moi porter ma croix","Boss du Rap Game
Lunatic"
77,,je révolte par ma seule présence tout ce qui a du sang corrompu dans les veines,"Ecce Homo
page 67",,Les faux négros me fuient,"Mauvais Garçon
Ouest Side"
78,,On rémunère mal un maître si l'on reste toujours son élève,"Ainsi Parlait Zarathoustra
De la prodigue vertu /page 108",,Impossible d'apprendre sans qu'j'finisse maître,"Ouest Side
Ouest Side"
79,,"Pour moi vous n'avez encore assez mal ! Car à vous-mêmes seulement avez mal, mais n'eûtes encore mal à l'homme !  ","Ainsi Parlait Zarathoustra
De l'homme supérieur /page 372",,"J'ai souffert, d'autres ont souffert beaucoup plus
Pour eux j'déchaîne l'enfer et degrés Celsius ","Foetus
Autopsie Vol. 3"
80,,"Votre vie d'obéissance et de guerre, de la sorte vivez ! Qu'importe une longue vie ? Est-il
 guerrier qui veut être épargné ?","Ainsi Parlait Zarathoustra
De la guerre et des guerriers /page 68",,"J'retrace la guerre dans mes morceaux
Et si j'me fais canner pas besoin d'en faire une chanson","Le bitume avec une plume
Temps Mort
"
81,,Louange à ce qui rend dur ! ,"Ainsi Parlait Zarathoustra
Le voyageur /page 206",,9 2 i enseigne à frapper l'ennemi jusqu'à c'que phalange saigne ,"IZI Money
0.9"
82,,"Il est assurément d'autres chanteurs, à qui la maison pleine seule au gosier donne sa souplesse, aux mains leur éloquence, à l'oeil son expression et au coeur son éveil; - à eux ceux-là je ne ressemble.",,,"J'pense qu'à faire de l'argent
J'pense qu'à faire de l'argent
J'pense qu'à faire de l'argent
J'pense qu'à faire de l'argent","Saddam Hauts d'Seine
Lunatic"
83,,"Être capable de se tenir debout, c'est mérite de courtisan; et croient tous courtisans qu'à
 la béatitude, après la mort, appartiendra le droit de s'asseoir ","Ainsi Parlait Zarathoustra
D'anciennes et de nouvelles tables /p267",,"Je vais régner assis, négro, je vais mourir debout ","Jour de Paye
Lunatic"
84,,"Pourquoi si dur - dit un jour l'anthracite au diamant. Ne sommes-nous proches parents ?
Pourquoi si mous ? Ainsi, mes frères, moi, je vous interroge. ","Ainsi parlait Zarathoustra
D'anciennes et de nouvelles tables /p280",,"Mon rap n'est pas trop dur
C'est toi qui est mou ","Qui remet ça
0.9"
85,,J'ai besoin de me laver les mains après avoir été en contact avec des hommes religieux.,"Ecce Homo
page 153",,Pas d'meilleur endroit pour s'faire sodomiser que l'Église,"Gangster
Autopsie Vol. 4"
86,,Et d'être aux ordres de vos entrailles votre esprit maintenant se fait honte,"Ainsi Parlait Zarathoustra
de l immaculee connaissance /page 169",,J'ai jamais eu peur de poser mes tripes sur la musique ,"Si tu savais
Lunatic"
87,,Qu'à ces fidèles n'attache son coeur qui est de ma façon parmi les hommes ! Qu'a ces printemps et a ces près ne fasse confiance qui de la fuyante et lâche espèce humaine a connaissance. ,"Ainsi Parlait Zarathoustra
Des renégats p239",,"C'est pas la rue mais l'être humain qui m'attriste
Comment leur faire confiance, ils ont tué le Christ ","Boulbi
Ouest Side"
88,,"Mais si pleurer ne veux, ni laisser fondre en larmes ta purpurine mélancolie, lors, ô mon âme, il te faudra chanter !","Ainsi parlait Zarathoustra
De la grande nostalgie - p292",,"Tu crois que je vais mal, que je n'dors plus
Tu voudrais sécher mes larmes
Mais il y a bien longtemps que je n'pleure plus
Messieurs et mesdames","Comme une Etoile
Lunatic"
89,,"Et tel est le secret que me confia la vie elle-même : ""Vois, disait-elle, je suis ce qui toujours ne se peut soi-même que dominer.""","Ainsi parlait Zarathoustra
De la domination de soi p158",,"Traîner la vie par l'chignon, mon seul combat ","Avant de partir
Panthéon"
90,,"On se rend maintenant très bien compte, à l'aspect du travail - c'est-à-dire de cette dure activité du matin au soir -, que c'est là la meilleure police, qu'elle tient chacun en bride et qu'elle s'entend à entraver vigoureusement le développement de la raison, des convoitises, des envies d'indépendance.",Aurore p163 ,,"Taffer de neuf à cinq, pour moi c'est pas la vie
Tuez-moi tout d'suite emmenez-moi au Paradis","Paradis
Lunatic"
91,,"Et vous aussi, ô vous pour qui la vie est sauvage labeur et trouble, n'êtes-vous très las de vivre? Pour le prêche de mort n'êtes-vous très mûrs? ","Ainsi Parlait Zarathoustra
Des prêcheurs de mort p65",,"Si t'as pas d'raison d'vivre, trouve une raison de crever","Couleur Ebène
Ouest Side"
92,,"Ces gens sont prudents, c'est doigts prudents qu'ont leurs vertus. Mais leur manquent les poings; derrière des poings ne savent leurs doigts se dissimuler. ","Ainsi Parlait Zarathoustra
De la repantissante vertu p227",,9 2 i enseigne à frapper l'ennemi jusqu'à c'que phalange saigne ,"IZI Money
0.9"
93,,"Trop loin je volais vers l'avenir ; m'assaillit un frisson d'horreur. 
Et quand autour de moi je regardai, voici que le temps était mon seul contemporain.","Ainsi Parlait Zarathoustra
Du pays de la culture /page 164",,"Normal tu ne me vois pas, renoi, j'suis dans le futur","Caesar Palace
Lunatic"
